,pred_mrl,true_mrl,id
0,0.04876509925704895,7.064098,69105
1,0.05179839721214648,7.7563543,34237
2,0.051062657371510556,6.9083567,12005
3,0.04972057003020494,3.4958816,49139
4,0.04975352797865205,4.2216253,11846
5,0.05102860953466777,5.1463046,98613
6,0.05098047724300136,3.1355715,40906
7,0.04999202610796848,6.6260552,5929
8,0.050701296491897085,6.6859713,87976
9,0.05137578016661212,5.7117887,46250
10,0.05014436173086712,5.118797,70220
11,0.04912724130240118,6.074282,33455
12,0.04980206945641858,6.759097,65576
13,0.05060725798881215,4.7527356,11186
14,0.04946726209783464,7.5723267,67862
15,0.05157073760855774,5.554448,50892
16,0.051124875943506634,3.9793468,50138
17,0.05043185092828653,5.3373346,77979
18,0.050848461059737345,6.5431786,31407
19,0.05113675233863701,5.4305167,59535
20,0.050184880482527866,5.7574835,48528
21,0.05018299341377066,7.0717154,27232
22,0.049703658846912656,7.050647,63697
23,0.050903576189370456,7.504642,49697
24,0.051592955075367576,6.573913,62729
25,0.05180609149950995,6.1413236,40852
26,0.0501859936493099,3.424131,28947
27,0.051545802403112,6.146825,6560
28,0.0509643964485321,4.6010914,72817
29,0.05054703673812591,4.672133,60207
30,0.050716829073491135,6.3411536,63726
31,0.04974567926449503,7.3855042,87188
0,0.050921315742205396,5.3009033,4162
1,0.05092545429175769,4.1020055,82204
2,0.05006289571881342,7.6080513,24745
3,0.04941973397356048,6.784386,48964
4,0.051760146948779846,5.0570955,91544
5,0.05095324506521091,5.965971,67317
6,0.051276026794952224,5.2383757,78388
7,0.05002132184358123,7.396133,99331
8,0.05158023400760017,7.5761933,19114
9,0.05100614419486435,3.8154361,9234
10,0.051592152504463015,6.232441,80915
11,0.05013198098591598,7.1378717,40589
12,0.04996040262100359,7.2922387,79096
13,0.04960419213434549,7.300917,78419
14,0.05097981865073486,6.7128773,25354
15,0.05157165601230626,6.65131,68247
16,0.050578049851246476,7.440837,68205
17,0.050122712726112933,5.601195,25850
18,0.05122306776271172,6.1767454,42668
19,0.05042917474239755,4.8325515,91411
20,0.0489433325332796,7.3151035,72131
21,0.050725727252192855,5.958656,58624
22,0.05118745342732851,5.250155,25694
23,0.04992397343683229,7.261956,73545
24,0.051307237135772184,5.952957,70629
25,0.05088820330317034,7.208913,60810
26,0.05152478908037998,7.049415,72362
27,0.051403509256826914,4.404979,26582
28,0.050121061780874124,6.2582316,298
29,0.051514573036464374,2.5515275,23079
30,0.050580146567086856,6.9844627,52071
31,0.05116404980423109,3.0817666,65150
0,0.051654872544258955,6.8619657,76937
1,0.051825474385053916,2.2715933,57170
2,0.05163398588046533,5.0856905,7191
3,0.049989344797113464,7.279615,98869
4,0.051030170925103875,4.1225586,46059
5,0.05099778985846755,4.3677797,75650
6,0.05126810495792407,6.8052244,25181
7,0.05020821274977558,6.896285,22871
8,0.050017674867522864,6.032836,68938
9,0.050745986896285185,4.926968,5972
10,0.04980297738343559,4.4918237,59133
11,0.05215774304480253,7.452677,59581
12,0.05139233211366918,2.4526362,93341
13,0.050519870172952695,3.506153,89877
14,0.05031937707061473,6.587282,58134
15,0.05165226790206098,6.576384,35712
16,0.050772760537196954,7.0326695,4271
17,0.05006412479305266,5.810669,98501
18,0.050979023700878784,7.0854263,34071
19,0.049526313662423466,7.326493,83110
20,0.05116537579553422,6.4321823,46555
21,0.05182218250943824,5.975486,37253
22,0.05110417007357492,7.401826,38141
23,0.05004507664898548,7.402629,53157
24,0.050117748069212854,5.985159,98395
25,0.04980990571173925,6.889564,94624
26,0.050168551747688944,3.6864684,10065
27,0.05095370551667886,6.857694,17612
28,0.05139755813869214,7.2451086,95625
29,0.05071019943757757,7.465231,18965
30,0.050980154815189895,7.3157163,83444
31,0.048942555884595465,6.9676404,80846
0,0.051227811041911486,6.4474726,27543
1,0.050533589422921986,4.793568,43662
2,0.04987236712307453,6.708968,35620
3,0.05093796097514646,6.2442493,58183
4,0.05171855622465693,5.814914,72739
5,0.052611716837879303,4.329727,88240
6,0.04968003367590916,7.1873174,17746
7,0.05074784689433407,3.0802119,65700
8,0.05116811760308824,6.3697553,20140
9,0.050772944794805853,4.5407257,67603
10,0.04998791361334876,5.8613796,1488
11,0.051513035528159064,1.9839659,6672
12,0.05155014747936587,5.428587,77410
13,0.05072481745773594,5.356237,71600
14,0.049633081247203226,7.121656,79913
15,0.04961453060252663,3.5679965,29942
